Present_Tmax,Present_Tmin,lat,lon,DEM,Slope,Solar_radiation,Act_Next_Tmax,Act_Next_Tmin
28.7,21.4,37.6046,126.991,212.335,2.785,5992.895996,31.9,21.6
31.9,21.6,37.6046,127.032,44.7624,0.5141,5869.3125,31.6,23.3
31.6,23.3,37.5776,127.058,33.3068,0.2661,5863.555664,32,23.4
32,23.4,37.645,127.022,45.716,2.5348,5856.964844,31.4,21.9
31.4,21.9,37.5507,127.135,35.038,0.5055,5859.552246,31.9,23.5
31.9,23.5,37.5102,127.042,54.6384,0.1457,5873.780762,31.4,24.4
31.4,24.4,37.5776,126.838,12.37,0.0985,5849.233398,32.1,23.6
32.1,23.6,37.4697,126.91,52.518,1.5629,5863.992188,31.4,22
31.4,22,37.4967,126.826,50.9312,0.4125,5876.901367,31.6,20.5
31.6,20.5,37.4562,126.955,208.507,5.1782,5893.608398,31.7,23.5
31.7,23.5,37.5372,127.085,28.7,0.6233,5864.000977,31.6,22.2
31.6,22.2,37.5507,126.988,132.118,0.5931,5924.328613,32.1,23.8
32.1,23.8,37.5776,127.083,59.8324,2.6865,5861.027344,31.3,23.8
31.3,23.8,37.4967,126.927,30.968,0.618,5857.949707,32.5,23.6
32.5,23.6,37.5507,126.937,30.0464,0.8552,5866.655762,30.7,21.4
30.7,21.4,37.4697,126.995,82.2912,2.2579,5861.383301,32.1,20.1
32.1,20.1,37.6181,127.099,53.4712,0.697,5872.376465,32.8,23.8
32.8,23.8,37.4832,127.024,56.4448,1.2313,5864.952637,31.4,22.8
31.4,22.8,37.5776,126.938,75.0924,1.7678,5893.578125,30.9,22.2
30.9,22.2,37.6181,127.004,146.554,4.7296,5932.124023,32,23.6
32,23.6,37.5507,127.04,26.298,0.5721,5859.321777,32.2,23.9
32.2,23.9,37.5102,127.086,21.9668,0.1332,5852.904297,32.7,24.4
32.7,24.4,37.5372,126.891,15.5876,0.1554,5851.387695,31.5,25
31.5,25,37.5237,126.909,17.2956,0.2223,5850.358887,32.5,24.2
32.5,24.2,37.5237,126.97,19.5844,0.2713,5855.09375,28.3,21.2
28.3,21.2,37.6046,126.991,212.335,2.785,5987.71875,30.5,22.9
30.5,22.9,37.6046,127.032,44.7624,0.5141,5863.956055,30.3,24.5
30.3,24.5,37.5776,127.058,33.3068,0.2661,5858.20166,31,24.5
31,24.5,37.645,127.022,45.716,2.5348,5851.575195,30.8,22.6
30.8,22.6,37.5507,127.135,35.038,0.5055,5854.146973,31,24.1
31,24.1,37.5102,127.042,54.6384,0.1457,5868.374512,30.5,23.6
30.5,23.6,37.5776,126.838,12.37,0.0985,5843.853516,31,23.1
31,23.1,37.4697,126.91,52.518,1.5629,5858.525879,30.5,21.7
30.5,21.7,37.4967,126.826,50.9312,0.4125,5871.54541,30,21.1
30,21.1,37.4562,126.955,208.507,5.1782,5887.616211,30.6,24.8
30.6,24.8,37.5372,127.085,28.7,0.6233,5858.687012,32,22.2
32,22.2,37.5507,126.988,132.118,0.5931,5918.901367,30.9,24.8
30.9,24.8,37.5776,127.083,59.8324,2.6865,5855.550293,30.8,22.9
30.8,22.9,37.4967,126.927,30.968,0.618,5852.552734,30.1,23.1
30.1,23.1,37.5507,126.937,30.0464,0.8552,5861.348633,29.9,21.4
29.9,21.4,37.4697,126.995,82.2912,2.2579,5855.75293,30.6,21.6
30.6,21.6,37.6181,127.099,53.4712,0.697,5866.985352,31.5,24.2
31.5,24.2,37.4832,127.024,56.4448,1.2313,5859.464355,30.8,21.9
30.8,21.9,37.5776,126.938,75.0924,1.7678,5888.26709,30.5,23.2
30.5,23.2,37.6181,127.004,146.554,4.7296,5926.908691,30.5,24.3
30.5,24.3,37.5507,127.04,26.298,0.5721,5853.975098,31.8,24.1
31.8,24.1,37.5102,127.086,21.9668,0.1332,5847.513184,31.5,23.5
