Present_Tmax,Present_Tmin,DEM,lat,lon,Slope,Solar radiation,Act_Next_Tmax,Act_Next_Tmin,Date
28.7,21.4,212.335,37.6046,126.991,2.785,5992.895996,31.9,21.6,30/6/2013
31.9,21.6,44.7624,37.6046,127.032,0.5141,5869.3125,31.6,23.3,30/6/2013
31.6,23.3,33.3068,37.5776,127.058,0.2661,5863.555664,32,23.4,30/6/2013
32,23.4,45.716,37.645,127.022,2.5348,5856.964844,31.4,21.9,30/6/2013
31.4,21.9,35.038,37.5507,127.135,0.5055,5859.552246,31.9,23.5,30/6/2013
31.9,23.5,54.6384,37.5102,127.042,0.1457,5873.780762,31.4,24.4,30/6/2013
31.4,24.4,12.37,37.5776,126.838,0.0985,5849.233398,32.1,23.6,30/6/2013
32.1,23.6,52.518,37.4697,126.91,1.5629,5863.992188,31.4,22,30/6/2013
31.4,22,50.9312,37.4967,126.826,0.4125,5876.901367,31.6,20.5,30/6/2013
31.6,20.5,208.507,37.4562,126.955,5.1782,5893.608398,31.7,23.5,30/6/2013
31.7,23.5,28.7,37.5372,127.085,0.6233,5864.000977,31.6,22.2,30/6/2013
31.6,22.2,132.118,37.5507,126.988,0.5931,5924.328613,32.1,23.8,30/6/2013
32.1,23.8,59.8324,37.5776,127.083,2.6865,5861.027344,31.3,23.8,30/6/2013
31.3,23.8,30.968,37.4967,126.927,0.618,5857.949707,32.5,23.6,30/6/2013
32.5,23.6,30.0464,37.5507,126.937,0.8552,5866.655762,30.7,21.4,30/6/2013
30.7,21.4,82.2912,37.4697,126.995,2.2579,5861.383301,32.1,20.1,30/6/2013
32.1,20.1,53.4712,37.6181,127.099,0.697,5872.376465,32.8,23.8,30/6/2013
32.8,23.8,56.4448,37.4832,127.024,1.2313,5864.952637,31.4,22.8,30/6/2013
31.4,22.8,75.0924,37.5776,126.938,1.7678,5893.578125,30.9,22.2,30/6/2013
30.9,22.2,146.554,37.6181,127.004,4.7296,5932.124023,32,23.6,30/6/2013
32,23.6,26.298,37.5507,127.04,0.5721,5859.321777,32.2,23.9,30/6/2013
32.2,23.9,21.9668,37.5102,127.086,0.1332,5852.904297,32.7,24.4,30/6/2013
32.7,24.4,15.5876,37.5372,126.891,0.1554,5851.387695,31.5,25,30/6/2013
31.5,25,17.2956,37.5237,126.909,0.2223,5850.358887,32.5,24.2,30/6/2013
32.5,24.2,19.5844,37.5237,126.97,0.2713,5855.09375,28.3,21.2,30/6/2013
28.3,21.2,212.335,37.6046,126.991,2.785,5987.71875,30.5,22.9,1/7/2013
30.5,22.9,44.7624,37.6046,127.032,0.5141,5863.956055,30.3,24.5,1/7/2013
30.3,24.5,33.3068,37.5776,127.058,0.2661,5858.20166,31,24.5,1/7/2013
31,24.5,45.716,37.645,127.022,2.5348,5851.575195,30.8,22.6,1/7/2013
30.8,22.6,35.038,37.5507,127.135,0.5055,5854.146973,31,24.1,1/7/2013
31,24.1,54.6384,37.5102,127.042,0.1457,5868.374512,30.5,23.6,1/7/2013
30.5,23.6,12.37,37.5776,126.838,0.0985,5843.853516,31,23.1,1/7/2013
31,23.1,52.518,37.4697,126.91,1.5629,5858.525879,30.5,21.7,1/7/2013
30.5,21.7,50.9312,37.4967,126.826,0.4125,5871.54541,30,21.1,1/7/2013
30,21.1,208.507,37.4562,126.955,5.1782,5887.616211,30.6,24.8,1/7/2013
30.6,24.8,28.7,37.5372,127.085,0.6233,5858.687012,32,22.2,1/7/2013
32,22.2,132.118,37.5507,126.988,0.5931,5918.901367,30.9,24.8,1/7/2013
30.9,24.8,59.8324,37.5776,127.083,2.6865,5855.550293,30.8,22.9,1/7/2013
30.8,22.9,30.968,37.4967,126.927,0.618,5852.552734,30.1,23.1,1/7/2013
30.1,23.1,30.0464,37.5507,126.937,0.8552,5861.348633,29.9,21.4,1/7/2013
29.9,21.4,82.2912,37.4697,126.995,2.2579,5855.75293,30.6,21.6,1/7/2013
30.6,21.6,53.4712,37.6181,127.099,0.697,5866.985352,31.5,24.2,1/7/2013
31.5,24.2,56.4448,37.4832,127.024,1.2313,5859.464355,30.8,21.9,1/7/2013
30.8,21.9,75.0924,37.5776,126.938,1.7678,5888.26709,30.5,23.2,1/7/2013
30.5,23.2,146.554,37.6181,127.004,4.7296,5926.908691,30.5,24.3,1/7/2013
30.5,24.3,26.298,37.5507,127.04,0.5721,5853.975098,31.8,24.1,1/7/2013
31.8,24.1,21.9668,37.5102,127.086,0.1332,5847.513184,31.5,23.5,1/7/2013
31.5,23.5,15.5876,37.5372,126.891,0.1554,5846.012695,30.9,24,1/7/2013
30.9,24,17.2956,37.5237,126.909,0.2223,5844.961914,31.5,24.2,1/7/2013
31.5,24.2,19.5844,37.5237,126.97,0.2713,5849.743164,24.4,20.6,1/7/2013
24.4,20.6,212.335,37.6046,126.991,2.785,5981.979492,27,22.4,2/7/2013
27,22.4,44.7624,37.6046,127.032,0.5141,5858.019043,28,22.6,2/7/2013
28,22.6,33.3068,37.5776,127.058,0.2661,5852.268066,27.7,22.9,2/7/2013
27.7,22.9,45.716,37.645,127.022,2.5348,5845.616211,27.8,22.5,2/7/2013
27.8,22.5,35.038,37.5507,127.135,0.5055,5848.15625,28.8,23.1,2/7/2013
28.8,23.1,54.6384,37.5102,127.042,0.1457,5862.382813,27.6,23,2/7/2013
27.6,23,12.37,37.5776,126.838,0.0985,5837.890625,27.8,23.2,2/7/2013
27.8,23.2,52.518,37.4697,126.91,1.5629,5852.468262,26.9,22.1,2/7/2013
26.9,22.1,50.9312,37.4967,126.826,0.4125,5865.608398,27.5,22.5,2/7/2013
27.5,22.5,208.507,37.4562,126.955,5.1782,5880.977539,28.6,23.2,2/7/2013
28.6,23.2,28.7,37.5372,127.085,0.6233,5852.796875,26.2,21.6,2/7/2013
26.2,21.6,132.118,37.5507,126.988,0.5931,5912.88623,28.4,23.2,2/7/2013
28.4,23.2,59.8324,37.5776,127.083,2.6865,5849.480469,27.6,22.4,2/7/2013
27.6,22.4,30.968,37.4967,126.927,0.618,5846.571777,26.7,22.4,2/7/2013
26.7,22.4,30.0464,37.5507,126.937,0.8552,5855.466797,27.5,22.3,2/7/2013
27.5,22.3,82.2912,37.4697,126.995,2.2579,5849.513184,27.5,22.1,2/7/2013
27.5,22.1,53.4712,37.6181,127.099,0.697,5861.010254,29,23.1,2/7/2013
29,23.1,56.4448,37.4832,127.024,1.2313,5853.381836,26.6,22.3,2/7/2013
26.6,22.3,75.0924,37.5776,126.938,1.7678,5882.380371,27.1,22.6,2/7/2013
27.1,22.6,146.554,37.6181,127.004,4.7296,5921.158691,28.1,22.8,2/7/2013
