Actual_Next_Tmin,Predicted_Next_Tmin,Actual_Next_Tmax,Predicted_Next_Tmax,Date,id
21.6,23.661385861,31.9,30.971165105,30/6/2013,0
23.3,22.331874905,31.6,31.958025081,30/6/2013,1
23.4,23.599958136,32,31.506599001,30/6/2013,2
21.9,23.560101837,31.4,31.679896048,30/6/2013,3
23.5,22.374936256,31.9,31.280528513,30/6/2013,4
24.4,23.705438473,31.4,31.839490701,30/6/2013,5
23.6,23.754726283,32.1,30.684487235,30/6/2013,6
22,22.839263240,31.4,31.206480390,30/6/2013,7
20.5,21.659899736,31.6,30.819761408,30/6/2013,8
23.5,21.404632252,31.7,32.218793749,30/6/2013,9
22.2,23.453132800,31.6,31.296384833,30/6/2013,10
23.8,23.644820680,32.1,32.749020010,30/6/2013,11
23.8,23.838051789,31.3,31.765311555,30/6/2013,12
23.6,23.114324032,32.5,30.533053393,30/6/2013,13
21.4,23.254571836,30.7,31.809761270,30/6/2013,14
20.1,21.307313469,32.1,30.316604584,30/6/2013,15
23.8,21.359129799,32.8,32.386522830,30/6/2013,16
22.8,23.546031085,31.4,32.254480144,30/6/2013,17
22.2,23.053738591,30.9,31.369902777,30/6/2013,18
23.6,23.109924800,32,31.503534939,30/6/2013,19
23.9,23.501760338,32.2,31.535578345,30/6/2013,20
24.4,23.711808089,32.7,31.675009397,30/6/2013,21
25,23.752624589,31.5,31.831621487,30/6/2013,22
24.2,24.182659029,32.5,30.707816630,30/6/2013,23
21.2,23.710208191,28.3,31.747113663,30/6/2013,24
22.9,23.467988199,30.5,30.600371440,1/7/2013,25
24.5,23.382524353,30.3,30.676204752,1/7/2013,26
24.5,24.569387277,31,30.316301387,1/7/2013,27
22.6,24.458607914,30.8,30.765845580,1/7/2013,28
24.1,22.948560795,31,30.732570508,1/7/2013,29
23.6,24.177247241,30.5,31.013611572,1/7/2013,30
23.1,23.017366693,31,29.846872421,1/7/2013,31
21.7,22.350712448,30.5,30.186663436,1/7/2013,32
21.1,21.354386400,30,29.986335807,1/7/2013,33
24.8,21.840391805,30.6,30.746424496,1/7/2013,34
22.2,24.519229339,32,30.291644864,1/7/2013,35
24.8,23.665349162,30.9,33.118806519,1/7/2013,36
22.9,24.639889885,30.8,30.665706430,1/7/2013,37
23.1,22.311190461,30.1,30.064045568,1/7/2013,38
21.4,22.699087884,29.9,29.589241093,1/7/2013,39
21.6,21.266053178,30.6,29.578071745,1/7/2013,40
24.2,22.577368347,31.5,31.014019963,1/7/2013,41
21.9,23.824505036,30.8,31.057485847,1/7/2013,42
23.2,22.245457226,30.5,30.808528516,1/7/2013,43
24.3,23.952956969,30.5,31.142801410,1/7/2013,44
24.1,24.029045900,31.8,30.156367519,1/7/2013,45
23.5,23.863884555,31.5,31.307581805,1/7/2013,46
24,22.913449300,30.9,30.716085179,1/7/2013,47
24.2,23.288007411,31.5,30.145609647,1/7/2013,48
20.6,23.658653641,24.4,30.823841142,1/7/2013,49
22.4,22.748896892,27,26.993625179,2/7/2013,50
22.6,22.770395221,28,27.439753168,2/7/2013,51
22.9,22.809875770,27.7,28.176447731,2/7/2013,52
22.5,22.906715113,27.8,27.704897822,2/7/2013,53
23.1,22.707652045,28.8,27.961279960,2/7/2013,54
23,23.200206599,27.6,28.973665896,2/7/2013,55
23.2,22.349761184,27.8,27.163750409,2/7/2013,56
22.1,22.272243545,26.9,27.232331369,2/7/2013,57
22.5,21.514431138,27.5,26.665066508,2/7/2013,58
23.2,22.920757217,28.6,28.449552067,2/7/2013,59
21.6,23.034272510,26.2,28.431385941,2/7/2013,60
23.2,22.848426196,28.4,27.757218405,2/7/2013,61
22.4,23.129186562,27.6,28.343653776,2/7/2013,62
22.4,21.714507354,26.7,27.104679798,2/7/2013,63
22.3,21.919369905,27.5,26.443470753,2/7/2013,64
22.1,21.919726408,27.5,27.369344436,2/7/2013,65
23.1,22.849526084,29,28.155396281,2/7/2013,66
22.3,22.745647515,26.6,28.739624716,2/7/2013,67
22.6,22.374609450,27.1,26.933089962,2/7/2013,68
22.8,23.259609807,28.1,27.997860895,2/7/2013,69
23.1,22.609862394,29,27.927504965,2/7/2013,70
23,22.855950978,27.9,28.713469029,2/7/2013,71
23.1,22.296171060,27.9,27.387273876,2/7/2013,72
23,22.356145242,28.5,27.367613359,2/7/2013,73
17.9,22.467684529,27.9,28.043327185,2/7/2013,74
20.4,20.597060916,30.4,30.204028489,3/7/2013,75
20.8,21.217992064,30.7,30.563676124,3/7/2013,76
20.9,21.394169044,30.7,30.655519695,3/7/2013,77
20.9,21.333716509,30.5,30.459376847,3/7/2013,78
20.9,21.464682943,30.5,30.442032094,3/7/2013,79
20.1,21.387533773,29.1,30.525779119,3/7/2013,80
20.4,19.922206702,28.9,28.525272560,3/7/2013,81
19.5,19.910461550,29.4,28.225254173,3/7/2013,82
19.3,19.397473136,28.7,28.952711444,3/7/2013,83
21.3,20.218639469,31.6,29.531523421,3/7/2013,84
18.9,21.547643754,30.8,31.186699751,3/7/2013,85
21.1,20.753223910,31.1,31.983611907,3/7/2013,86
20.3,21.454370429,29.5,30.820220673,3/7/2013,87
19.8,19.998501575,29.6,28.842352454,3/7/2013,88
19,19.823008060,29.4,29.100555984,3/7/2013,89
20.6,19.167286841,30.8,29.096977198,3/7/2013,90
20.9,21.723819519,31.6,31.191151564,3/7/2013,91
19.6,20.979313166,30.1,31.122993318,3/7/2013,92
20.3,20.222771487,30.1,30.143503440,3/7/2013,93
20.7,21.427505851,30.3,30.749814117,3/7/2013,94
21.1,20.909303923,31.3,29.942256872,3/7/2013,95
20.5,21.246909891,31,30.821423484,3/7/2013,96
20.7,20.296475106,30.1,30.229924455,3/7/2013,97
20.8,20.396478449,30.8,29.379854653,3/7/2013,98
21.5,20.685905667,24.9,30.149602239,3/7/2013,99
23.3,23.551801450,28,27.463804586,4/7/2013,100
23.5,23.599038504,27.6,28.371766052,4/7/2013,101
23.8,23.566435160,28.2,27.815405991,4/7/2013,102
23.5,23.709614570,28.1,28.175103326,4/7/2013,103
24.3,23.586621020,28,28.247611625,4/7/2013,104
23.9,24.195276509,26.9,28.245702883,4/7/2013,105
23.9,23.090873206,27.1,26.525629724,4/7/2013,106
23.5,22.840614516,26.9,26.592548045,4/7/2013,107
23.5,22.723431830,26.1,26.677659945,4/7/2013,108
24.6,23.712177417,28.4,27.165839760,4/7/2013,109
22.6,24.232976810,27.2,28.259250603,4/7/2013,110
23.8,23.763436473,28.4,28.690080678,4/7/2013,111
23.7,23.647229986,27.2,28.349561160,4/7/2013,112
23.4,22.816542180,26.6,26.746997444,4/7/2013,113
23.2,22.777746517,26.5,26.360342711,4/7/2013,114
23.4,22.645384058,28.3,26.454180640,4/7/2013,115
24,24.013347358,29,28.906045167,4/7/2013,116
23.4,23.522798148,26.7,28.748048413,4/7/2013,117
23.7,23.329652838,27.6,27.035522739,4/7/2013,118
23.9,24.235252195,27.4,28.469719426,4/7/2013,119
24.3,23.523713812,28,27.291055394,4/7/2013,120
24.1,23.840723647,27.6,27.800781586,4/7/2013,121
24.1,23.230617032,27.5,27.120272796,4/7/2013,122
24.3,23.199072486,27.5,27.007416602,4/7/2013,123
19.9,23.538827654,27.8,27.131471416,4/7/2013,124
21.7,22.319119532,29.6,30.129332604,5/7/2013,125
22.2,22.299418356,29.9,29.836616789,5/7/2013,126
22.8,22.561964624,30.2,29.929298011,5/7/2013,127
22.4,22.948803898,32.4,30.014432592,5/7/2013,128
22.4,22.857865088,30.7,32.210404768,5/7/2013,129
21.8,22.693185330,30.2,30.724014775,5/7/2013,130
22,21.446937240,29.6,29.556429038,5/7/2013,131
21.5,21.328224595,29,28.886143178,5/7/2013,132
21.5,21.104079199,28.6,28.600963143,5/7/2013,133
22.6,22.113409138,30.6,29.458643641,5/7/2013,134
20.8,22.618773769,29.3,30.274911055,5/7/2013,135
22.6,22.316820985,30.7,30.615066511,5/7/2013,136
22,22.729126510,29.8,30.464302232,5/7/2013,137
21.5,21.482040703,29.3,29.134623718,5/7/2013,138
21.5,21.275657072,28.9,28.838645729,5/7/2013,139
22.1,21.300580787,30.1,28.657105775,5/7/2013,140
22.3,22.983131906,31.7,30.558135385,5/7/2013,141
21.5,22.193443918,29.9,31.228043926,5/7/2013,142
22,21.853307605,29.4,29.975631165,5/7/2013,143
22.1,22.859563403,29.8,30.118439535,5/7/2013,144
22.6,22.092546293,29.9,29.493117089,5/7/2013,145
22.2,22.470180265,30.6,29.541880332,5/7/2013,146
22.2,21.743972968,31.1,29.875664926,5/7/2013,147
22.2,21.743321176,30.3,30.316976755,5/7/2013,148
19.6,21.869147923,27.6,29.700463041,5/7/2013,149
21.8,22.049615567,30.3,29.942600966,6/7/2013,150
22.4,22.421727528,30,30.484503890,6/7/2013,151
22.4,22.739749914,31.1,30.023856866,6/7/2013,152
23,22.649564774,33.5,30.842851245,6/7/2013,153
22.3,23.432614737,30.5,33.231931268,6/7/2013,154
20.7,22.596415496,30.1,30.538981178,6/7/2013,155
21.2,20.491624839,29.4,29.455372484,6/7/2013,156
20.2,20.626869312,28.8,28.695248240,6/7/2013,157
20.5,19.970879998,28.4,28.405867038,6/7/2013,158
22.7,21.239305654,30.5,29.266122634,6/7/2013,159
20.7,22.699892897,30.9,30.183905949,6/7/2013,160
23,22.312730160,31.3,32.092533164,6/7/2013,161
21.3,23.105392173,30,31.022354152,6/7/2013,162
20.6,20.887651322,29.2,29.314004385,6/7/2013,163
20.7,20.493084421,28.9,28.739258471,6/7/2013,164
21.4,20.609520131,30.8,28.650948639,6/7/2013,165
22.3,22.414486911,31.3,31.199320566,6/7/2013,166
20.9,22.172744029,29.9,30.859134303,6/7/2013,167
21.5,21.334991307,29.7,29.971119754,6/7/2013,168
22.4,22.443065386,30,30.391836399,6/7/2013,169
22.7,22.361849757,30.6,29.680874455,6/7/2013,170
21.1,22.592488798,30.2,30.189770699,6/7/2013,171
21.4,20.773214090,29.9,29.497524869,6/7/2013,172
22,20.990478625,30.8,29.202465085,6/7/2013,173
20.1,21.722051929,25.9,30.161113066,6/7/2013,174
20.9,22.393824930,28.5,28.377196989,7/7/2013,175
23,21.551615810,28.5,28.815022994,7/7/2013,176
22.6,23.180622693,28.7,28.644030899,7/7/2013,177
21.8,22.698621430,30.8,28.628421821,7/7/2013,178
22.8,22.257054768,28.1,30.728691806,7/7/2013,179
22.2,22.904578330,28.8,28.327073335,7/7/2013,180
22.3,21.720117543,28.1,28.267814463,7/7/2013,181
20.7,21.509883508,27.7,27.504346545,7/7/2013,182
20.1,20.345978953,28,27.394647259,7/7/2013,183
23,20.873111136,28.6,28.893951815,7/7/2013,184
21.2,22.861063473,27,28.432117427,7/7/2013,185
23.3,22.543659714,28.3,28.495212394,7/7/2013,186
22,23.209922050,29,28.254611301,7/7/2013,187
21.8,21.440636709,28.6,28.396826037,7/7/2013,188
20.2,21.498512978,28.5,28.195705749,7/7/2013,189
20.4,20.156963690,28.1,28.277902488,7/7/2013,190
23,21.411665603,30.1,28.697755975,7/7/2013,191
20.7,22.715429887,28.5,29.757243232,7/7/2013,192
21.5,21.090060233,28.2,28.676945425,7/7/2013,193
23,22.365726454,28,29.006963974,7/7/2013,194
22.9,22.776978403,29.1,27.839242680,7/7/2013,195
22.7,22.687884058,29.4,28.806596006,7/7/2013,196
22.8,22.113820354,29.4,28.772609598,7/7/2013,197
22.9,22.173792633,29.3,28.752958817,7/7/2013,198
20.5,22.422032349,23.1,28.783801193,7/7/2013,199
22.3,22.595020716,24.8,25.795019393,8/7/2013,200
23.2,22.570160055,26.1,25.409996944,8/7/2013,201
22.8,23.229671820,26.3,26.429639987,8/7/2013,202
23.3,22.747669738,26.3,26.414035100,8/7/2013,203
23.5,23.320776324,26.8,26.585621090,8/7/2013,204
22.5,23.442109713,25.8,27.132849996,8/7/2013,205
23.2,21.824642186,26.3,25.500098386,8/7/2013,206
22.2,22.194407726,25.3,25.850000927,8/7/2013,207
23,21.517827519,25.1,25.191152501,8/7/2013,208
23.6,23.228370617,27,26.240455025,8/7/2013,209
21.7,23.296781049,24.5,26.959962920,8/7/2013,210
23.5,22.846665977,26.8,26.190983005,8/7/2013,211
22.8,23.305308251,26.2,26.871482946,8/7/2013,212
22.3,21.987304649,25.4,25.818024620,8/7/2013,213
22.8,21.765479829,25.3,25.244936077,8/7/2013,214
22.3,22.237676714,26,25.344768909,8/7/2013,215
23.7,22.944436761,26.9,26.774700626,8/7/2013,216
22.2,23.155131286,25.4,26.808169474,8/7/2013,217
